	database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	modifications	charge	retention_time	reliability
(2-methoxyethoxy)propanoic acid isomer					(2-methoxyethoxy)propanoic acid isomer	147.065655	[(M-H)]-	1	4.75	4
(gamma)Glu-Leu/Ile					(gamma)Glu-Leu/Ile	259.128923	[(M-H)]-	1	5.25	4
1,3-Dimethyluric acid	CHEBI:68447	C7H8N4O3	Cn1c2[nH]c(=O)[nH]c2c(=O)n(C)c1=O	InChI=1S/C7H8N4O3/c1-10-4-3(8-6(13)9-4)5(12)11(2)7(10)14/h1-2H3,(H2,8,9,13)	1,3-Dimethyluric acid	195.050844	[(M-H)]-	1	4.67	5
1,7-Dimethyluric acid	CHEBI:68449	C7H8N4O3	Cn1c2c([nH]c1=O)[nH]c(=O)n(C)c2=O	InChI=1S/C7H8N4O3/c1-10-3-4(8-6(10)13)9-7(14)11(2)5(3)12/h1-2H3,(H,8,13)(H,9,14)	1,7-Dimethyluric acid	195.050844	[(M-H)]-	1	4.96	5
1-Methyluric acid	CHEBI:68441	C6H6N4O3	Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O	InChI=1S/C6H6N4O3/c1-10-4(11)2-3(9-6(10)13)8-5(12)7-2/h1H3,(H,9,13)(H2,7,8,12)	1-Methyluric acid	181.035456	[(M-H)]-	1	4.07	5
1-Methylxanthine	CHEBI:68444	C6H6N4O2	Cn1c(=O)[nH]c2nc[nH]c2c1=O	InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)	1-Methylxanthine	165.040382	[(M-H)]-	1	4.23	5
2,2-Dimethylglutaric acid	CHEBI:68459	C7H12O4	CC(C)(CCC(O)=O)C(O)=O	InChI=1S/C7H12O4/c1-7(2,6(10)11)4-3-5(8)9/h3-4H2,1-2H3,(H,8,9)(H,10,11)	2,2-Dimethylglutaric acid	159.065452	[(M-H)]-	1	6.04	5
2-acetamido-4-methylphenyl acetate	CHEBI:84085	C11H13NO3	CC(=O)Nc1cc(C)ccc1OC(C)=O	InChI=1S/C11H13NO3/c1-7-4-5-11(15-9(3)14)10(6-7)12-8(2)13/h4-6H,1-3H3,(H,12,13)	2-acetamido-4-methylphenyl acetate	206.08069	[(M-H)]-	1	6.75	4
2-Aminoadipic acid	CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	2-Aminoadipic acid	160.060993	[(M-H)]-	1	1.05	5
2-Hydroxybenzyl alcohol	CHEBI:16464	C7H8O2	OCc1ccccc1O	InChI=1S/C7H8O2/c8-5-6-3-1-2-4-7(6)9/h1-4,8-9H,5H2	2-Hydroxybenzyl alcohol	123.045226	[(M-H)]-	1	5.58	5
