dataMatrix	HU_neg_011_b2	HU_neg_014_b2	HU_neg_015_b2	HU_neg_017	HU_neg_018	HU_neg_019_b2	HU_neg_020	HU_neg_021	HU_neg_022_b2	HU_neg_023_b2	HU_neg_024_b2	HU_neg_025_b2	HU_neg_026_b2	HU_neg_027	HU_neg_028	HU_neg_029_b2	HU_neg_030_b2	HU_neg_031_b2	HU_neg_032	HU_neg_033_b2	HU_neg_034	HU_neg_035_b2	HU_neg_036_b2	HU_neg_037	HU_neg_039_b2	HU_neg_040_b2	HU_neg_041	HU_neg_042_b2	HU_neg_043	HU_neg_044	HU_neg_045_b2	HU_neg_046_b2	HU_neg_047	HU_neg_048	HU_neg_049	HU_neg_050	HU_neg_051	HU_neg_052	HU_neg_053_b2	HU_neg_054_b2	HU_neg_055	HU_neg_056_b2	HU_neg_057_b2	HU_neg_058_b2	HU_neg_060	HU_neg_061	HU_neg_062_b2	HU_neg_063_b2	HU_neg_064	HU_neg_065	HU_neg_066	HU_neg_067_b2	HU_neg_068	HU_neg_069_b2	HU_neg_070_b2	HU_neg_072	HU_neg_073_b2	HU_neg_074_b2	HU_neg_075_b2	HU_neg_076_b2	HU_neg_077	HU_neg_078	HU_neg_079	HU_neg_080_b2	HU_neg_081_b2	HU_neg_082_b2	HU_neg_083	HU_neg_084_b2	HU_neg_085_b2	HU_neg_086	HU_neg_087_b2	HU_neg_088	HU_neg_089	HU_neg_090	HU_neg_091	HU_neg_092_b2	HU_neg_093	HU_neg_094	HU_neg_095_b2	HU_neg_096_b2	HU_neg_097_b2	HU_neg_098_b2	HU_neg_099	HU_neg_100	HU_neg_101	HU_neg_102_b2	HU_neg_103_b2	HU_neg_105	HU_neg_106_b2	HU_neg_107	HU_neg_108	HU_neg_109	HU_neg_110	HU_neg_112_b2	HU_neg_113_b2	HU_neg_114_b2	HU_neg_115_b2	HU_neg_116	HU_neg_117_b2	HU_neg_118	HU_neg_119_b2	HU_neg_120_b2	HU_neg_121_b2	HU_neg_122_b2	HU_neg_123	HU_neg_124_b2	HU_neg_125	HU_neg_126	HU_neg_127	HU_neg_129_b2	HU_neg_130	HU_neg_131	HU_neg_132	HU_neg_133	HU_neg_134	HU_neg_135_b2	HU_neg_136_b2	HU_neg_137_b2	HU_neg_138	HU_neg_139_b2	HU_neg_140_b2	HU_neg_142_b2	HU_neg_143_b2	HU_neg_144	HU_neg_145_b2	HU_neg_147_b2	HU_neg_148	HU_neg_149	HU_neg_150	HU_neg_152	HU_neg_154	HU_neg_156	HU_neg_157	HU_neg_158	HU_neg_159_b2	HU_neg_160_b2	HU_neg_162_b2	HU_neg_163	HU_neg_164_b2	HU_neg_166_b2	HU_neg_167_b2	HU_neg_168_b2	HU_neg_169_b2	HU_neg_170	HU_neg_171	HU_neg_172	HU_neg_173	HU_neg_174	HU_neg_175	HU_neg_177_b2	HU_neg_179	HU_neg_180	HU_neg_181	HU_neg_182	HU_neg_183_b2	HU_neg_184	HU_neg_185	HU_neg_186	HU_neg_188_b2	HU_neg_189	HU_neg_190_b2	HU_neg_191_b2	HU_neg_192	HU_neg_193_b2	HU_neg_194_b2	HU_neg_195_b2	HU_neg_196	HU_neg_197_b2	HU_neg_198_b2	HU_neg_199_b2	HU_neg_200	HU_neg_201	HU_neg_202	HU_neg_203_b2	HU_neg_204	HU_neg_205_b2	HU_neg_206_b2	HU_neg_207	HU_neg_208	HU_neg_209
M191.0013T235	2.358323148	2.64668267	3.569611939	2.761918497	2.016780889	2.700300573	2.728286477	2.492383935	4.257326182	2.591858448	2.278786582	2.614338906	2.716322457	2.72907563	2.616452886	2.964325079	2.436656927	3.26029816	2.705995755	3.499167171	3.266023541	2.736140124	3.816005955	2.929394956	4.053701171	2.365862814	2.527922136	2.599057007	2.722863119	3.619120473	3.284813082	2.558540194	2.351101526	2.447038055	1.480045	3.875120592	2.382753	3.714237325	2.839206822	2.541859913	2.592461238	2.267883233	2.523929427	2.411925719	2.673584869	2.539264649	2.471710886	2.626929762	2.095392327	2.722716382	2.581062029	3.390892274	2.772014909	2.023586857	3.447462155	3.168762614	2.731203682	2.878216961	2.675449383	3.835494303	2.570334817	2.521143993	2.220091902	2.732793376	2.586193908	3.690308415	2.801450747	3.863298484	2.173965842	3.008482027	3.727630625	2.530160186	2.387770651	4.045503176	3.548499619	3.328094924	3.829077877	2.841956517	2.864254851	2.445806038	3.632928102	2.419267544	3.796718029	2.684462328	2.426730089	2.489174259	2.690405552	3.954726524	3.451155907	3.482917823	2.870691033	2.587449835	1.994055615	2.527377844	2.152414321	1.796616003	2.545141648	3.289242224	2.797793727	3.859943183	2.513458593	2.717031964	2.78520562	2.765580813	1.84135748	3.172644502	3.774113062	2.629256222	2.612188419	1.908924535	3.760638885	3.732309828	2.263840175	1.981792451	3.593355751	2.878373902	3.431661457	1.587924138	2.298154191	2.776442806	2.808958866	2.910869484	1.659765554	2.923239002	2.700250517	3.278271845	3.672891873	2.020190367	3.546302771	2.874843287	3.738593939	2.439694323	2.51932919	2.516749473	2.507295435	2.933388473	4.618614565	3.577068398	2.77553906	2.719521685	3.961800436	2.974092512	3.709456598	3.400822168	3.774596658	3.751018644	4.152186688	3.461541193	2.476515602	2.3425088	2.920189678	3.988387096	3.822793718	3.805525239	4.351378306	3.315358366	2.482024037	3.788562097	2.685186948	2.188646408	2.934814886	2.370256405	2.120243297	2.75066731	2.818645254	2.209532538	2.407903866	2.666717981	2.818672492	1.712603812	2.612962343	2.34898288	2.11336035	2.474149526	2.776526746	2.646977474	2.343810891	2.910145863	2.672114421	2.840384202
M191.0073T64	2.078632163	2.60742644	2.217650644	2.362525763	2.31111276	2.534252122	2.37903525	2.436827781	2.42771254	2.456872779	2.43341492	2.348927741	2.346003278	2.299291181	2.402257455	2.801729436	2.324196821	2.055379717	2.522396702	2.452089213	2.310953304	2.514476882	2.330820496	2.358258917	2.247895722	2.227938544	2.289089539	2.381928386	2.447242311	2.357957216	3.103736548	2.475809187	2.082670999	2.372814253	2.49804739	2.162216294	2.048352747	2.581013054	2.318313616	2.469192969	2.333490438	2.256282796	2.451586982	2.236607888	2.386737854	2.510734328	2.333995075	2.410886124	2.634288026	2.49045576	2.493278205	2.014067113	2.576261212	3.092382997	2.261868184	2.351821419	2.470492305	2.599398208	2.449913938	2.61359019	2.364005487	2.678352061	2.366718685	2.623325828	2.300146741	2.378060085	2.615856816	2.550764131	2.452465144	2.516037663	2.498438058	2.632697484	2.771720154	2.747153421	2.428694113	2.296772951	2.902195041	2.678856652	2.640004513	2.373216527	2.338064848	2.384088786	2.385545103	2.729805312	4.804957123	2.295561205	2.286389311	2.594067729	3.021416381	2.338204704	5.055478192	2.684561639	2.659872854	2.367410262	2.517751865	2.422861728	2.448455124	2.528480465	2.242278995	2.794480162	2.55355811	2.572999419	2.701749353	2.540005147	2.521036089	2.38314714	2.539260503	2.48962847	2.692725735	2.592107382	2.30224132	2.339126931	2.614689658	2.598186372	2.626784151	2.414312015	2.672087032	2.32916538	2.239461019	2.42445074	2.550835408	2.296515845	2.618540371	2.467483002	2.656944082	2.499064314	2.615915481	2.545298699	2.531047189	2.38138472	2.738426099	2.289589608	2.353212904	2.660790322	2.474321137	2.722312643	2.764613494	2.608952349	2.638877572	2.369435116	2.356566837	2.813067528	2.548841305	2.560074026	2.875136208	2.469270235	2.875118077	2.508245585	2.449549763	2.280758906	2.585901761	2.607655575	2.505394425	2.613653706	2.654887357	2.263094397	2.346342962	2.730365558	2.545280502	2.524751767	2.2939348	2.435736353	2.144374848	2.384395387	2.4362882	2.319197161	2.54321495	2.460416028	2.456938487	2.199103406	2.208726974	2.426545926	2.237483941	2.297159458	2.501336452	2.4668115	2.42817578	2.487999403	2.467792461	2.338030661
M191.0186T64	4.570973797	4.937841853	4.659916759	4.76682898	4.777518261	4.846770973	4.887701393	4.958834684	4.8519842	4.824539493	4.814345423	4.683277913	4.757704586	4.898844771	4.842934357	5.135050205	4.749212204	4.596957849	4.918159119	4.861269571	4.762896863	4.865651833	4.682718381	4.755370846	4.780144456	4.614812546	4.808001863	4.742889422	4.871915673	4.850088133	5.464789096	4.873955637	4.524928572	4.625775581	4.804488072	4.657207335	4.579639529	4.883408533	4.699209146	4.691293333	4.745139506	4.652489176	4.767161259	4.59655235	4.796144755	4.882612487	4.763467378	4.823812785	4.939249968	4.841178205	4.880378003	4.605993333	4.968305027	5.24406113	4.703776196	4.691312061	4.775708129	5.041746925	4.739943013	5.061498257	4.696044729	4.941524253	4.673979788	4.914010038	4.746287852	4.821695263	4.903774103	4.882851657	4.709165805	4.857726136	4.834720458	4.98830076	5.110651672	4.992397192	4.752613608	4.598573583	5.274869925	4.917166716	4.996032364	4.802797659	4.703312566	4.709493331	4.792100133	5.008985692	4.762113704	4.746960532	4.703868891	4.954333336	5.26434444	4.653886109	5.032117634	5.073445175	4.991935909	4.789171108	4.941927617	4.874035455	4.819944904	4.822746606	4.705389392	5.102712519	4.947503626	4.902546828	5.092036029	4.935279896	4.758754907	4.773963817	4.894675572	4.843911765	4.881829501	4.953148511	4.683908468	4.66603149	4.903998695	4.932455046	4.925669316	4.723032325	4.950394109	4.684547028	4.652536479	4.85417277	5.056855366	4.646886646	5.043015465	4.789253061	5.03981961	4.71801469	4.983348875	4.851045358	4.902390806	4.729635604	5.105710558	4.791726934	4.802431488	4.966177006	4.851727918	5.003635103	5.052931024	4.94508836	5.030110303	4.840536631	4.865481993	5.176021769	4.932724696	4.942408636	5.284745857	4.782492626	5.230948546	4.885999239	4.814436016	4.630152152	4.966458111	4.904757172	4.986232752	4.984958115	4.938576491	4.790324248	4.786797389	5.138257904	4.962833603	4.855144477	4.702110203	4.742238973	4.62866309	4.786317076	4.756142971	4.813561231	4.981981421	4.768900121	4.689187644	4.608567189	4.662652601	4.854175698	4.584782509	4.720534283	4.819267476	4.75340097	4.801522051	4.970944639	5.128515023	4.841421231
M191.0186T97	4.911957813	5.291412267	5.073875882	5.048739959	5.085821153	5.17742434	5.20620811	5.329003291	5.231152378	5.292035915	5.1596248	5.104194907	5.073496716	5.320067224	5.345943617	5.390428089	5.064179907	4.823757087	5.263953766	5.2105839	5.105083756	5.280213377	4.978405128	5.128375251	5.094669097	4.947244199	5.085588775	5.182187517	5.308866754	5.148909669	5.775040641	5.357073602	4.79963	4.743928235	5.149763923	4.991462142	4.854472203	5.277695611	5.014722363	5.064002414	5.079161901	4.940444874	5.059473278	4.837868556	5.205131581	5.236243513	5.05850147	5.232407295	5.318973971	5.272840977	5.395646413	4.80369375	5.30936024	5.642366545	5.033858534	4.987576446	5.230244261	5.316340307	5.140660421	5.465534662	5.141100666	5.323823475	4.877788281	5.294292574	5.0889385	5.152447006	5.372921678	5.218038172	4.994965203	5.076554192	5.16706511	5.383059862	5.560180586	5.296649404	5.197325179	4.897922945	5.658069593	5.292911401	5.335284515	5.199620678	5.037844501	5.116182713	5.215850768	5.40347718	4.975083947	5.085936798	5.033985446	5.36429712	5.673090702	5.009443757	5.282593017	5.344990436	5.261968423	5.149995459	5.390090612	5.162887364	5.313625704	5.117058096	4.944114029	5.433042267	5.348235874	5.170478433	5.399454577	5.337819079	5.187701172	5.092616334	5.1607264	5.199578633	5.198442495	5.152791402	4.961642341	4.938293137	5.208333724	5.205074807	5.265741237	5.117603896	5.216580204	5.019934624	4.917266598	5.28317832	5.403885056	4.913956459	5.44732201	5.125273905	5.272524987	5.00949433	5.264499405	5.13992714	5.147102485	5.042980877	5.435852102	5.014256439	5.012103548	5.270667563	5.118764373	5.237139669	5.457051449	5.285863945	5.447358337	5.20930107	5.123637498	5.730864453	5.435298569	5.204329045	5.595224547	5.126232906	5.571498655	5.172261082	5.082404536	4.866097205	5.232033998	5.177114335	5.261418326	5.382643142	5.325494903	5.174628738	4.930068227	5.431143187	5.240692563	5.245346323	5.021360191	5.134460619	4.990348913	5.187992471	5.050899473	5.041235585	5.262512535	5.063078647	5.014208549	4.98320296	5.044185146	5.227531553	4.907427572	5.145079769	5.196175799	5.16420066	5.237027759	5.338221314	5.471201713	5.34606197
M191.0305T64	2.212653858	2.484263539	2.233932129	2.283421671	2.359339698	2.405178279	2.476963657	2.573592111	2.399148509	2.433986155	2.529895196	2.292148414	2.385157051	2.472342541	2.489116108	2.655623799	1.931677313	2.020519225	2.529728346	2.514839943	2.387117024	2.412624278	2.148799281	2.270556513	2.393981111	2.134062103	2.528320904	2.257919821	2.442086129	2.411433308	3.018916037	2.418705624	2.000727344	2.237161981	2.502871217	2.317518093	4.580836533	2.635584135	2.222794758	2.259333041	2.29894	2.223084959	2.421697199	1.999620685	2.47730324	2.655211674	2.346793256	2.404165417	2.525522684	2.456975639	2.549861006	2.121145403	2.615410671	2.870669233	2.386110759	2.309240127	2.277374174	2.536178713	2.331035078	2.262081527	2.282616603	2.586627378	2.302332646	2.265359941	2.429739015	2.33412704	2.672489189	2.529281833	2.257967388	2.518090668	2.410034579	2.692460723	2.694162753	2.603350978	2.40378764	2.127964021	2.955678306	2.385669219	2.629468955	2.359695804	2.220051466	2.305069883	2.410053872	2.604824033	2.321060147	2.274433127	2.188713855	2.674129692	2.772092485	2.282078384	2.372170146	2.588618883	2.429018597	2.312387645	2.449891281	2.439227002	2.429241768	2.416222613	2.329937581	2.702542142	2.452635624	2.435400541	2.513089009	2.559926547	2.449813284	2.359960802	2.557211852	2.55733387	2.479286268	2.557895503	2.287604307	2.292309834	2.49866575	2.611343972	2.670892124	2.368947965	4.897110346	2.297000326	1.966261382	2.428478228	2.529148312	2.26148903	2.576700245	2.319815888	2.507212264	2.418005237	2.68995578	2.525853274	2.479778295	2.285075912	2.590620861	2.304784025	2.472877846	2.600628707	2.350325663	2.548918876	2.671641408	2.535215922	2.591635035	2.405704562	2.458810845	2.714210681	2.38485251	2.625492836	2.902505892	2.430119141	2.798855438	2.553974719	2.400202982	1.961087234	2.668014547	2.570167635	2.689920362	2.543750648	2.529563253	2.341191325	4.814649182	2.540837312	2.307617658	2.614502661	2.241709934	2.301310168	2.300784868	2.349380465	2.374996248	2.260458296	2.785473151	2.358862452	2.306674988	2.093030013	2.3630772	2.462278677	2.243589759	2.277863217	2.538830199	2.339156043	2.433891732	2.513209993	2.738852398	2.539672507
M191.0375T356	1.377102029	1.526723923	1.215395484	0	1.5447237	2.16547743	1.884598964	1.829188092	1.298077252	1.644993789	1.687445333	1.34497821	1.254646278	1.690867888	2.19834524	2.454781338	1.135247562	1.324330863	1.329547755	1.475731422	0	1.866300338	1.55619348	1.640795733	1.211520499	1.417170255	1.329868966	0.953970884	1.880197377	1.62036583	2.433448234	2.146786922	0.999895451	1.266821179	1.047502945	1.732303767	0	1.761599324	2.206822821	1.765157403	1.457952627	0.962600974	1.32646436	1.9114363	2.00854377	1.701794397	1.586271356	1.880431713	1.365450232	1.222685265	1.827888826	2.262174099	1.995884715	2.489471372	2.124854025	1.51631112	1.43599185	1.735005731	1.259432207	1.887304712	1.58084213	1.84841425	1.621262687	1.172185961	1.442201908	1.563976767	1.624021627	1.853805743	1.661343191	1.988103045	1.487575999	2.329641136	1.924477335	1.704762863	1.563750835	1.765083746	1.731928766	1.807594072	1.68129699	2.08464319	1.335927019	1.799561416	1.771195194	1.590872507	1.589975168	2.016452913	1.644038982	2.056589562	2.475543687	1.569996775	1.370952704	1.942134368	2.079414063	1.854886398	2.190098607	1.743747404	1.801599303	2.033531804	0.986139747	1.893475265	1.679614372	1.654927094	1.814093098	1.646548869	1.581392846	1.70380102	1.683118498	1.14595826	1.849931168	1.831517622	1.59033095	1.693123052	2.108879325	2.030614897	1.474506212	2.032205179	1.775548211	2.140912931	2.010669885	1.817924737	2.376468375	1.220316874	1.367838441	1.997556131	1.824094822	1.919014633	1.647217443	2.109938247	2.404437362	1.411568572	1.841080492	2.14514475	1.707826318	1.403595507	1.882233307	1.941761352	1.810782821	1.393697963	1.64737085	1.807323353	1.45903669	1.792392487	1.538639496	1.688634066	1.984944418	2.151819895	1.784452569	1.939231335	1.862662213	1.805777052	2.017440504	2.18920841	1.833660465	2.39442052	1.883358489	1.531736931	1.272828383	2.463418994	1.556600443	2.028236579	2.119129825	1.69959016	1.436058048	1.993315915	1.584895733	2.340397773	1.767350386	1.556381306	1.748916528	0.944582264	1.680321067	1.566060432	1.680896309	1.348431359	1.695307663	2.171442525	2.177899915	1.851735788	1.782795742	1.474909742
M191.0555T57	3.714350579	3.757695676	3.884507229	4.123410175	3.251815916	4.050074731	2.895914732	2.337115249	4.203009493	4.183481588	3.849373842	3.723553095	3.892331082	2.483453536	3.567772759	4.149781471	3.843377375	3.248370194	3.968888296	3.942732243	4.056949369	3.859901583	4.281473679	3.936385576	4.151919843	3.87077177	2.048344413	3.452940528	1.807364803	4.325714176	4.348384858	3.83647019	3.281362139	2.599112903	3.332194004	4.168125933	2.800296499	4.017298504	3.894787123	3.450647658	4.034005551	2.80915342	3.80468944	3.282311005	4.051168595	3.754647809	2.187470204	2.847373364	4.148112654	3.741861065	3.516883358	3.712117366	3.937910375	4.345399089	3.890288062	4.072008934	3.72057451	1.974412737	3.964859202	4.164248789	3.888216671	3.934134807	3.986966292	3.215818603	3.132408844	3.683672034	4.086254845	4.459125779	3.775030182	4.421816494	4.192809662	4.024292179	4.159243131	4.015109136	4.097671566	3.87405032	4.54605742	3.739999977	3.913624692	1.432035158	4.131351957	4.162714081	3.415055839	4.377395313	3.454548684	3.786026652	3.581091547	4.102486266	4.496485007	4.273020509	2.558400258	3.851547315	3.94969151	4.348782449	3.122748653	3.987757322	3.25880635	4.343611086	3.836498316	4.464197032	3.924095164	3.417010365	2.283001759	3.734314397	3.772431255	4.108065874	4.282380619	4.12060259	3.843367903	4.341297065	3.988429817	4.115382523	3.899595123	3.982382857	4.116697274	3.800218192	4.150868909	3.302647007	3.934506481	4.000219954	4.216556772	2.601852187	4.175082645	4.009812978	2.952226565	4.123468265	3.846104654	3.884157436	4.665918267	3.793425249	4.243963607	3.40052923	4.306109255	2.740803664	4.009652712	3.109157864	4.354996792	3.79431116	4.191022641	3.98453608	4.64157718	1.839242575	4.636303727	4.030941894	4.586940759	3.928349312	4.778813943	4.222106127	3.591722334	3.998264643	1.922692643	4.172314562	4.163523553	4.158597604	4.345697821	3.391902638	2.879742558	4.571650576	2.541771498	2.819147766	2.443235375	2.507957583	3.347076639	2.088841831	3.810931433	4.047615856	2.851097613	1.992596387	4.096190451	2.058476113	4.233337038	2.123117395	2.85106351	1.802358896	4.076108088	3.842560111	3.634988944	3.662343973	3.602377739	3.487581754
M191.0552T242	1.896152902	0	0.627975505	0	3.771146647	1.76477581	2.087132282	2.128913856	2.450788885	0	0.745779783	1.608049753	1.328580719	1.247561112	0	0.885952654	0	0.733352348	2.413863744	1.618236084	2.277663089	1.081360429	1.566806972	0	1.11875447	0.583772634	2.524052876	1.749253661	2.151927358	0	1.048951245	1.188059624	1.130584082	1.753499567	0.92630808	2.414812122	1.253032953	0.759868212	0	0.9928446	1.472835222	0.933664472	0.845810464	0.70158567	0.822582663	0	0.687460574	1.736080969	1.318747905	0.907213717	1.781390162	0	0.967856334	0.700776083	1.145906515	0	3.035025492	1.009795032	2.78441891	0	2.707185033	2.350725365	0	0.467008012	0.80033999	3.247227201	0	0.887323723	1.010240171	0.996253063	1.675099773	1.425664059	1.103427926	0.560206821	3.027947885	1.170036187	1.467988987	0	0	1.706629335	0	0	1.41363307	0.761748435	0	0.766875094	0	0	0.961557097	0	1.547578061	0	0	3.490647621	2.730924182	1.158908768	0	1.044460301	0.666373666	1.961927314	1.10817418	0.667377832	0	2.08782774	0.361958719	0.642393741	0.842479181	1.696932321	1.353118005	1.092562937	0.280404723	1.728444712	1.658080716	0.901648056	1.129096971	1.349773542	0.797188828	0	1.601077593	1.327039294	2.483259831	0.879160947	1.105740111	0.972911502	1.238721567	0.932679157	1.807037207	1.719053139	0.989532813	1.169775208	0.90559153	1.599582639	2.852542475	1.107487962	1.282625731	0.808182637	0	1.865926398	1.088719309	0.687503391	0	0	0.952796459	2.431744584	1.475899318	1.953035091	2.739686115	1.675637344	1.490577762	1.44529232	1.269664269	0.910643035	1.560414	0.650892303	2.19584758	1.634483687	0	2.125568784	1.442718435	0.985534699	1.280812048	0	2.439569454	0.840739139	0.908305037	1.783299787	1.532992596	1.491597989	1.975830557	1.065102321	2.60391703	3.381963547	0.831477066	0.927512839	0.919171454	0.668581177	1.43107691	2.69156297	0.882830389	0.787978917
M191.1067T469	0.653499062	3.036496754	0	0	4.025861309	1.067167864	0	0.949022341	0.886029717	0	0.668910375	0	0	0	0.730530013	0	0.799236208	0.829064795	1.922138696	2.503432676	0	0	0	0.823722899	0.989392678	0	0	0	0.746766247	0.954658648	0	0.811261712	0	0	0.741925544	0	0	0	0	0.938247662	0.866553605	0	0	0	0	0	0	1.017582	0	0.498460399	0	0	0	0	0	0	1.605704622	0	0	0	0.959756318	0	0	0	4.318664399	0	0	0	0.467345004	0	2.08084039	0	0	0	0.506652457	0.463946943	0	0	0	0.657465055	0	0.691431675	0.540783696	0	0	0.703655014	0	2.157714413	0	0	0	0	0	0	0	0	0	0	0	2.775662669	2.131962443	0	0	0	0.595899859	1.962541264	0.764684818	0	0.612991567	0	0.856823925	0.665526035	0	0	1.174305409	0	0	0.599657626	0	0	2.670737324	0	0	0	1.173169904	0	0.696506723	1.735614948	2.761474246	0	0	0	0.686245181	0	0	0	2.365536591	0	0	0	0	1.053690505	3.260764541	0.593408178	2.479344175	1.972745608	1.138943626	0	0.475707099	0.655950563	1.171107094	0	0	0	1.49245884	0	0	0	1.153771259	0.498909827	0	0	0	0	0	1.711311719	0	0	0.49108897	0	0	0	0.545198813	0	0.622998777	0	0	0	1.045694746	0
M191.134T64	1.710058078	2.116757899	1.599814968	1.953457976	1.689995333	1.805197296	1.820237445	1.954361976	2.039804239	1.807706276	2.162158783	1.76972894	2.076041859	1.933771672	1.875869404	2.000366489	1.82825766	1.516188965	2.151455922	1.887577351	2.063468042	1.844593326	1.652539771	1.973188925	1.679730023	1.548675534	1.946918074	1.736614881	1.776224652	2.318547318	2.408410927	1.941785411	1.836251935	1.607463082	1.772033475	1.687291601	1.332609536	1.899864503	1.718186036	1.707506193	1.66703475	1.627500968	1.868873163	1.360312751	1.830472104	1.881855397	1.583229155	1.716516787	2.039370644	1.94711031	1.919795579	1.770289544	2.002642763	2.257086777	1.700868694	1.785028218	1.65361918	2.057598308	1.717807409	1.820790868	1.630970996	1.979845401	1.77966967	2.048893067	1.71288045	1.904492055	2.048276721	1.806936296	1.749947519	1.831308773	1.632472417	2.015616158	2.226243532	2.059064901	1.834832034	1.569223695	2.358824288	2.001763638	1.88489456	1.6041202	2.005703796	1.665516516	1.762623082	2.095681375	1.748071031	1.501835114	1.632926815	1.930760104	2.215393415	2.076286137	1.97007939	2.348686587	1.988063308	1.862748182	1.915114767	1.566847333	1.821622769	2.380807309	1.679329738	2.087730624	1.949783668	1.886248485	2.370267387	1.94505056	1.808559226	2.142602426	1.864803369	2.161943056	1.837065038	1.892968083	1.720745994	2.297809442	1.904393087	1.978547816	1.986115778	1.598076308	2.384934874	1.686194887	1.858637061	1.726980017	2.102371743	1.821375997	1.883923914	1.822233991	2.053430321	1.933203605	2.02391278	1.818202501	2.86832576	1.651270844	2.107393711	1.972774143	2.304389713	1.920161118	2.132805569	2.044814621	1.928112327	2.008205609	1.96776097	1.656096885	2.610463167	2.247769152	2.576094175	1.949482124	2.539541234	1.711629866	2.174419798	1.848462149	1.757879961	1.829137131	2.051580942	2.011438474	2.304434356	1.903450132	1.923545356	1.750879596	1.794562343	2.559844172	1.820322073	1.769685895	1.437714883	1.791266905	1.607309134	1.885782127	2.015727344	2.077659862	1.956854009	1.793233458	2.024198882	1.621710816	2.0751774	1.854519506	1.677687056	1.720166275	1.746548905	1.754101692	1.859770814	1.9534751	2.160394997	1.796624345
