variableMetadata	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	bio	blank	isotopes	adduct	pcgroup	fold	tstat	pvalue	blank_mean	blank_sd	blank_CV	sample_mean	sample_sd	sample_CV	blankMean_over_sampleMean	pool_mean	pool_sd	pool_CV	poolCV_over_sampleCV
M191.0013T235	191.0013135	190.9986038	191.004306	235.49587	219.1122058	248.4897382	160	156	0	[111][M]-		116	226.7246761	-5.368356809	2.11E-07	6943.499064	5529.769223	0.796395185	2.885802212	0.617183432	0.21386893	2406.089729	1213215.024	111528.1034	0.09192773	0.429832094
M191.0073T64	191.0072986	191.0045887	191.0082961	63.98436557	62.72129467	64.64338333	208	208	0		[2M-H+Cl]2- 174.018	8	4.881273379	-3.183734494	0.001662113	67158.67141	76730.06761	1.142519142	2.504122445	0.319656241	0.127652001	26819.24422	211306.787	26769.73436	0.126686581	0.992437092
M191.0186T64	191.0185547	191.0132839	191.02055	63.94625564	54.71196474	79.82710622	228	210	9	[113][M]-	[M-H]- 192.031	8	929.2111061	-26.25270803	0	56383.03826	54937.77297	0.97436702	4.856350745	0.166496289	0.034284239	11610.16599	51191262.95	1970409.575	0.03849113	1.122706283
M191.0186T97	191.0185547	191.0112888	191.0202672	96.64919314	80.24425873	101.392534	221	210	0		[M-H+Cl]2- 348.076 [M-2H]2- 384.052	6	1030.646679	-21.79648357	0	116764.0734	109500.1158	0.937789447	5.19442151	0.190443911	0.036663161	22478.7444	120735461.7	13190383.51	0.109250284	2.979838131
M191.0305T64	191.0305268	191.026536	191.03352	63.98720723	62.72129467	73.61786945	207	206	0		[M-H]- 192.031	8	7.257998546	-2.78085328	0.005906709	65067.63685	74238.85308	1.140948967	2.489861607	0.392552862	0.157660515	26133.03353	204005.6373	23507.60951	0.115230196	0.730875426
M191.0375T356	191.037511	191.0332372	191.038226	356.0266506	336.7838876	377.6599297	145	127	0			1358	48.53124023	-14.65843645	0	970.6924132	1651.46149	1.701323167	1.691408354	0.441213692	0.260855807	573.8959552	41496.29159	7773.278375	0.187324652	0.718115705
M191.0555T57	191.0554722	191.0514806	191.0604619	56.67404699	55.80774154	66.64245059	294	210	14	[114][M]-	[M+Cl]- 156.086	70	43.45282294	-16.98341711	0	145791.9388	152303.0262	1.044660133	3.683160167	0.693507243	0.188291362	39583.38281	6708024.749	130527.5791	0.019458422	0.103342088
M191.0552T242	191.0551894	191.0544743	191.0571852	241.9308868	238.5036639	244.2800496	34	34	0			4866	54.20400794	-3.939893194	0.000111083	1418.245457	2060.433344	1.452804473	1.172726617	0.84367799	0.719415743	1209.357267	57554.32806	12283.39887	0.213422679	0.296661118
M191.1067T469	191.1067337	191.106376	191.1070914	469.2552063	468.686227	469.6051529	44	44	0			1633	307.8335202	-1.649337361	0.10058069	624.9799245	1949.003588	3.11850591	0.47391839	0.815266707	1.720268137	1318.7501	208685.2175	11137.26672	0.053368738	0.0310235
M191.134T64	191.1340489	191.1333334	191.1350475	63.84116186	63.09620814	64.24104679	156	156	0			8	34.52752016	-21.72314895	0	1609.09694	2703.233003	1.679969016	1.913818037	0.244774935	0.12789875	840.7784382	46999.64892	6656.992239	0.141639191	1.107432175
M191.2992T64	191.2991964	191.2971967	191.3009128	63.82369279	63.38127373	64.38510183	32	32	0			8	96.33105146	-23.15888998	0	851.3650584	2442.121917	2.868477973	2.031234196	0.229139488	0.11280801	419.1368283	79870.29867	6773.251974	0.084803138	0.751747485
M191.3049T64	191.3049122	191.301196	191.3089118	63.86000967	62.72129467	64.28759012	165	165	0			719	98.66518685	-23.18121385	0	851.3650584	2442.121917	2.868477973	2.038828922	0.234724539	0.115127138	417.5755254	79955.41854	5927.382989	0.0741336	0.643928103
M191.3049T97	191.3049122	191.301196	191.3101949	96.51405384	87.09461275	100.2481279	80	78	0			644	107.977629	-19.24095667	0	1488.431506	2286.370062	1.536093568	2.257093544	0.370139634	0.163989497	659.446087	153928.8712	39549.68328	0.256934797	1.566775937
