dataMatrix	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28
v1	31.97154127	32.43528149	32.03881704	31.92101171	32.04623576	32.04786561	32.11059753	32.15703478	32.6866107	32.90320712	32.45929252	32.26644371	32.46974477	32.39875882	32.30923264	32.46764423	32.29981379	32.71873259	31.92147151	32.90821586	32.44109632	32.75518884	32.62831337	32.65324319	32.55129708	32.80936454	32.83249757	32.64075685
v2	29.31185805	29.46756388	29.53297319	28.53584608	29.49503388	29.77286233	29.60024766	29.25489468	29.5164082	29.76089564	30.01272086	30.04008935	29.6561025	29.69942811	29.8866268	30.19925657	29.85546211	29.14855339	29.1769045	29.39085001	29.91325896	29.42362671	29.623529	30.21085903	30.31811068	30.52777109	30.44542386	28.71505047
v3	30.17013656	30.25699341	30.43386047	30.26048271	30.41386612	30.29341524	30.40107637	30.36708116	30.51336196	30.67240527	30.52213502	30.52988529	30.59678929	30.12538872	30.6641316	30.72045282	30.65314542	30.87650936	30.36842786	31.01107793	30.42381274	30.84148075	30.584617	30.70324153	30.66133112	30.79574907	30.80570452	30.83393471
v4	30.16680791	30.17498936	30.12403483	30.21801847	30.13425506	30.04750055	29.97122585	30.21062735	30.09528981	30.06571885	29.93616012	29.97858557	30.16336545	30.31824889	30.08907429	30.11287852	30.12330334	29.92228242	30.01400395	30.0362516	30.19968013	30.12597228	30.24217932	30.03834551	30.04752734	30.09225259	30.0017456	30.3347347
v5	30.79881824	30.74401432	30.82057175	30.94199243	30.88101255	30.85878077	30.57890496	30.90322965	30.77252138	30.80840403	30.69034226	30.68763614	30.75378262	30.54610021	30.73332953	30.65602774	30.77530585	30.60168205	30.74952719	30.71908295	30.8367994	30.79760592	30.8502746	30.78740662	30.74365703	30.64278493	30.66802809	30.99836619
v6	31.77165288	31.57336855	31.86804972	31.57990504	31.49780129	31.39894392	31.19925732	31.43041669	31.59938918	31.50439083	31.30317956	31.49916257	31.76123418	31.1669582	31.38583608	31.54334907	31.51922147	31.71418325	31.78030657	31.3876152	31.45763776	31.86035378	31.32870163	31.3709441	31.35666353	31.51842156	31.39867194	31.70030297
v7	28.77976664	29.00489028	28.79790489	28.05162633	28.971504	28.73745325	28.73911639	28.5482001	29.0617906	29.17592913	28.96519446	28.94986704	29.266023	29.35657004	28.9830925	29.17204533	28.95819603	28.96815885	28.59184748	29.12114409	28.93462906	29.04884288	29.35702116	29.16563205	29.14211173	29.27705408	29.44770717	28.76938005
v8	29.40985975	29.59873633	29.47513993	29.34586095	29.62518398	29.6562578	29.73231392	29.79448964	29.92279107	29.74875476	29.87959185	29.89432339	29.58132105	29.32605815	30.19221349	29.79903661	29.68232084	29.98084751	30.10876643	29.99555014	29.96132083	29.3327613	29.64276544	29.87552852	30.06622373	29.610584	29.96647729	29.54236913
v9	28.30437583	28.21060773	28.34401478	27.86670344	28.47868212	28.03431487	27.97209993	28.35700532	28.41763339	28.5967653	28.39023628	28.36153168	28.4563133	28.221861	28.45768672	28.63120404	28.59823769	28.40169554	28.46509467	28.59218749	28.27151161	28.50698523	28.68327083	28.51882685	28.53747508	28.6674086	28.59949679	28.62074023
v10	27.86273231	27.73427135	28.03962911	27.73962468	27.89613863	28.05627784	28.28102401	27.84669265	27.88627522	28.1114143	28.32063379	28.28992995	28.1025132	28.01024022	28.38290815	28.51179752	28.24894515	28.25384503	27.58202135	28.22567566	28.48568267	28.39864233	28.01332455	28.58509779	28.70478586	28.72689811	28.60165984	28.10664776
