""	"QC1_001"	"HU_neg_017"	"HU_neg_018"	"HU_neg_020"	"HU_neg_021"	"HU_neg_027"	"HU_neg_028"	"HU_neg_032"	"HU_neg_034"	"QC1_002"	"HU_neg_037"	"HU_neg_041"	"HU_neg_043"	"HU_neg_044"	"HU_neg_047"	"HU_neg_048"	"QC1_003"	"HU_neg_049"	"HU_neg_050"	"HU_neg_051"	"HU_neg_052"	"HU_neg_055"	"HU_neg_060"	"HU_neg_061"	"QC1_004"	"HU_neg_064"	"HU_neg_065"	"HU_neg_066"	"HU_neg_068"	"HU_neg_072"	"HU_neg_077"	"HU_neg_078"	"QC1_005"	"HU_neg_079"	"HU_neg_083"	"HU_neg_086"	"HU_neg_088"	"HU_neg_089"	"HU_neg_090"	"HU_neg_091"	"HU_neg_093"	"HU_neg_094"	"QC1_006"	"HU_neg_099"	"HU_neg_100"	"HU_neg_101"	"HU_neg_105"	"HU_neg_107"	"HU_neg_108"	"HU_neg_109"	"HU_neg_110"	"QC1_007"	"HU_neg_116"	"HU_neg_118"	"HU_neg_123"	"HU_neg_125"	"HU_neg_126"	"HU_neg_127"	"QC1_008"	"HU_neg_130"	"HU_neg_131"	"HU_neg_132"	"HU_neg_133"	"HU_neg_134"	"HU_neg_138"	"QC1_009"	"HU_neg_144"	"HU_neg_148"	"HU_neg_149"	"HU_neg_150"	"QC1_010"	"HU_neg_152"	"HU_neg_154"	"HU_neg_156"	"HU_neg_157"	"HU_neg_158"	"HU_neg_163"	"HU_neg_170"	"HU_neg_171"	"QC1_011"	"HU_neg_172"	"HU_neg_173"	"HU_neg_174"	"HU_neg_175"	"HU_neg_179"	"HU_neg_180"	"HU_neg_181"	"HU_neg_182"	"QC1_012"	"HU_neg_184"	"HU_neg_185"	"HU_neg_186"	"HU_neg_189"	"HU_neg_192"	"HU_neg_196"	"QC1_013"	"HU_neg_200"	"HU_neg_201"	"HU_neg_202"	"HU_neg_204"	"HU_neg_207"	"HU_neg_208"	"HU_neg_209"	"QC1_014"	"QC1_001_b2"	"HU_neg_022_b2"	"HU_neg_076_b2"	"HU_neg_166_b2"	"HU_neg_114_b2"	"HU_neg_190_b2"	"HU_neg_139_b2"	"HU_neg_096_b2"	"HU_neg_058_b2"	"HU_neg_031_b2"	"QC1_002_b2"	"HU_neg_039_b2"	"HU_neg_087_b2"	"HU_neg_143_b2"	"HU_neg_162_b2"	"HU_neg_102_b2"	"HU_neg_188_b2"	"HU_neg_095_b2"	"HU_neg_062_b2"	"QC1_003_b2"	"HU_neg_063_b2"	"HU_neg_011_b2"	"HU_neg_074_b2"	"HU_neg_122_b2"	"HU_neg_142_b2"	"HU_neg_030_b2"	"HU_neg_187_b2"	"HU_neg_167_b2"	"HU_neg_113_b2"	"QC1_004_b2"	"HU_neg_081_b2"	"HU_neg_014_b2"	"HU_neg_206_b2"	"HU_neg_119_b2"	"HU_neg_033_b2"	"HU_neg_067_b2"	"HU_neg_140_b2"	"HU_neg_164_b2"	"HU_neg_193_b2"	"HU_neg_112_b2"	"QC1_005_b2"	"HU_neg_097_b2"	"HU_neg_056_b2"	"HU_neg_195_b2"	"HU_neg_135_b2"	"HU_neg_159_b2"	"HU_neg_070_b2"	"HU_neg_038_b2"	"HU_neg_026_b2"	"QC1_006_b2"	"HU_neg_098_b2"	"HU_neg_115_b2"	"HU_neg_137_b2"	"HU_neg_019_b2"	"HU_neg_073_b2"	"HU_neg_168_b2"	"HU_neg_191_b2"	"HU_neg_040_b2"	"HU_neg_046_b2"	"QC1_007_b2"	"HU_neg_103_b2"	"HU_neg_015_b2"	"HU_neg_053_b2"	"HU_neg_121_b2"	"HU_neg_183_b2"	"HU_neg_199_b2"	"HU_neg_042_b2"	"HU_neg_075_b2"	"QC1_008_b2"	"HU_neg_203_b2"	"HU_neg_024_b2"	"HU_neg_082_b2"	"HU_neg_169_b2"	"HU_neg_129_b2"	"HU_neg_057_b2"	"HU_neg_035_b2"	"HU_neg_194_b2"	"HU_neg_145_b2"	"QC1_009_b2"	"HU_neg_177_b2"	"HU_neg_025_b2"	"HU_neg_080_b2"	"HU_neg_117_b2"	"HU_neg_136_b2"	"HU_neg_197_b2"	"HU_neg_036_b2"	"HU_neg_054_b2"	"HU_neg_085_b2"	"QC1_010_b2"	"HU_neg_160_b2"	"HU_neg_092_b2"	"HU_neg_023_b2"	"HU_neg_124_b2"	"HU_neg_147_b2"	"HU_neg_205_b2"	"HU_neg_084_b2"	"HU_neg_120_b2"	"HU_neg_198_b2"	"QC1_011_b2"	"HU_neg_045_b2"	"HU_neg_029_b2"	"HU_neg_069_b2"	"HU_neg_155_b2"	"HU_neg_106_b2"	"HU_neg_146_b2"	"QC1_012_b2"
"(2-methoxyethoxy)propanoic acid isomer"	477491	3193	148709	21610	43331	12792	3307077	61574	26880	519003	5339	50632	157590	13063	22310	71074	511903	6501135	17498866	148359	506.5	17818	4700992	36723	451655	22260	160245	436660	586825	64499	202618	53747	485060	65637	83410	376230	315405	53793	25810	447638	4563	20787	529851	90304	22132	26306	11462	116891	25968	3634	27028	441648	822593	29618	1876866	11139	182637	138896	397627	69020	77839	495836	95178	28666	996677	349467	103953	191754	424129	20379	358515	34980	17798	24986	125306	16683	248567	80876	48904	320263	177924	99067	926213	40156	102234	102614	243205	13941	235883	41577	9877	13001	1000744	462726	380522	238549	15801	131621	55452	51348	75541	12725	133862	187119	785442	60478	60202	224880	55462	100060	42986	607.5	130475	607.5	675924	4903004	396065	380956	607.5	392119	9854	106252	99264	637406	312148	33714	690355	247213	216205	67547	36430	21057	131148	574095	544490	99843	607.5	607.5	607.5	144958	565976	53797	139064	306347	686592	404783	607.5	79308	147421	66507	607.5	73762	198084	525400	482320	402890	607.5	308122	3847455	106160	64832	716412	494328	417494	174319	88831	4044643	71642	1122075	607.5	71395	131196	433963	92619	3073860	1131592	55550	132765	57931	786643	264705	171375	465617	43560	33298	293164	607.5	38935	117848	274209	144362	251705	396383	1976437	155386	71656	62054	273108	159751	179756	64850	94359	366996	126976	47026	142714	138801	72099	37766	334806
"(gamma)Glu-Leu/Ile"	554957	202963	1141194	221005	839104	184143	563885	152445	216940	521621	222641	180544	687834	80434	151161	451782	472595	294966	660102	45295	278434	181415	310417	186802	435218	70291	846977	493420	396830	802819	447895	675963	436822	248451	765803	486561	255991	419724	490262	783008	101036	563223	498904	496530	616505	127610	220300	570489	132391	132201	149044	394748	114987	158613	556087	577776	544155	640174	403099	326752	206133	353057	543100	371688	531026	389210	591630	396788	271111	54777	350341	375248	147145	309884	186066	173361	654249	291342	157895	340110	263985	79380	215704	872908	749808	141849	67300	99597	294428	257210	48701	65073	585634	849449	342007	237640	271788	623262	352566	397604	105270	85844	445275	209099	671836	210378	614346	547618	1137610	1233424	1268836	6294	533036	1316173	681704	329008	815106	371390	410006	12732	173672	853720	1152265	701720	721443	256102	592314	988064	800689	718594	114537	250284	1095122	653437	936633	309401	679956	387481	516232	551015	296767	302867	646452	975475	603636	400522	375192	266498	948319	255112	368612	92462	239914	572781	735905	476114	827366	591674	1106563	275568	695890	1566795	638928	549914	428413	446367	197361	188988	224690	760261	611725	609209	454369	582135	359063	847598	114380	438855	464997	174842	490938	315675	412787	682289	439585	585892	459908	84567	627207	232926	904954	563943	349984	344192	316795	79073	406842	411128	666409	124734	266425	355781	328540	68045	536317	448838	87301	220547	550155	257450
"1,3-Dimethyluric acid"	4566540	1328899	2213443	1243524	736206	533783	2689603	2100159	1851599	4033529	1248207	285999	1390408	1342791	1272772	920305	3749561	1848464	5233112	123268	1842586	1248149	7276851	1290073	4038810	954732	5964578	2746789	5313908	5340057	3945790	6307737	3471362	1550880	8263233	16527944	1331503	4386727	3151172	2965373	2365908	3180758	3563498	1118766	6615889	168860	1827455	8588255	28109	219550	434366	3076402	1749826	3692288	2062432	3927519	6784505	2882693	2873528	3500539	3429536	3468254	2924851	4456246	4930207	2561369	5193056	2773649	8863061	1971068	2440254	1863912	2298627	137964	2108839	429775	1710473	2534167	1686345	2184238	3676224	1683278	3287688	842092	287640	1941309	456801	763330	1831535	458744	924805	1297127	1604090	1459317	2168010	1719525	5199944	391930	479097	5422102	1106345	310338	944285	1549588	5892635	10312094	7821772	11024697	11099724	211356	15572436	607.5	5081385	1287012	7083236	11463946	10268577	3466442	16572946	7596396	515301	5605033	1166691	6692258	5258935	1120354	2768153	17622620	100138	5657045	155546	3993478	895432	6630262	1160086	1398006	20292345	8345069	9496638	2281112	1622765	559527	1169164	24371841	6010179	5988080	6808771	4430121	6994393	13311751	5318285	783176	353306	5788416	6714250	6043357	3119950	4761136	4840500	316705	2576605	4562242	7534703	5546336	3149195	2525989	2463379	413059	4398279	855987	2243033	6719671	4189278	1103830	3718953	5441941	4324385	9454992	5764607	7703610	7439304	5651876	4075671	5884945	2071030	822119	2324725	1072516	75496	15134893	4124869	5293399	3395800	607.5	2578641	5179943	5878251	8146783	4702730	2191032	34289	4192685	3234808	2907002	8592351	5858938	1541012	10652067	3600540	2932946
"1,7-Dimethyluric acid"	13830451	3085203	7049050	5793780	4813720	4378340	8011651	8451754	4982882	12641914	2411753	1400107	6174585	5733729	3807740	4697185	11988883	7699264	13879675	831703	9968950	8705364	12668435	5277566	11191507	3177895	17270092	7915283	11211461	15465514	12867390	17221913	10578096	5500479	17503122	29636845	2657662	9052789	10759167	7131250	7353516	10023936	11816229	4169400	12738320	424248	4949994	11848354	201374	827868	3151094	10020090	8280861	9286713	3993213	9503828	12403087	9717423	7961046	10461971	7667267	13598413	7726722	8778417	10883670	7925779	9802502	7503086	18030982	7985887	7922340	3325205	4733187	411360	6692749	1874296	5476864	6488536	5179328	6268539	4477422	5988385	8130675	3346104	1108283	6259949	2516648	2919853	5619616	1302465	924805	3942449	3933856	3461644	5175048	4980616	7814934	1389874	1312764	8842685	3831844	1483014	2494071	4725673	22027726	28338717	19767257	776755	29237805	551519	43361691	17669	24178241	2483160	22961817	36696085	29568489	12694039	38098794	28957490	4548936	21546827	8439927	23754498	19390563	2410036	15610073	48462830	743472	12281479	957970	22957209	3382722	23184843	3152846	6026857	29934738	37430772	28469408	6392048	3956769	18521915	6448619	58495251	21643123	15824960	24311549	14867509	14415999	39238537	19313537	4269597	14077517	20163043	27340905	24795934	11392689	16957319	8784709	3302430	14801777	21374299	22691590	18798091	10791789	9245374	9321953	3946445	19030931	2851153	7951878	18647008	15091482	4856406	12502732	10638134	17097174	26807402	12496560	23261771	14881802	11744963	14116064	15472403	6386433	5112117	13146747	7167783	236477	24538222	12591822	14722588	13063460	971573	5200985	16805865	7198114	10515461	10722786	13053078	70163	7465055	11687904	10088325	16368703	10706813	7486089	18535386	10598026	11077483
"1-Methyluric acid"	17558910	10657431	13044183	7261208	6909491	2594571	12751984	13522888	13894507	16393604	7865097	3630317	7503242	8537528	5503464	4587754	17599767	8473703	25556162	1332303	13312536	5073342	26036420	4959938	16841618	5608314	29332804	10491655	23448752	19921296	21471497	21223304	17008026	8908921	21091221	51170137	7921432	16085480	13789362	14424243	14714241	8362817	16699474	6133088	26413961	1605625	9660665	35717402	280575	1976782	2568169	15026529	6552813	16307390	12123953	13480559	22963554	12249347	13888520	17165271	17470093	12811880	12013641	18118700	19560902	13687923	25942102	16394638	24333092	12590296	12722221	10992119	6223253	1623756	10758763	2121817	7813434	12500471	12705530	11102165	17869823	9436102	11637518	4185206	3758974	10169281	2777795	5497423	10321096	3558399	944424	7181581	3180237	7866370	8184772	9332856	21413125	4177729	2968557	23287406	6301903	2265236	5640134	8113388	34046147	29268048	43765299	44375419	50601116	4832613	40454119	8126	19479962	11235683	33064844	75260138	36891690	17466250	74160059	32122101	5238560	30163448	10216046	31450577	17301601	11549910	12734389	54057483	3488082	24301846	2046492	23004592	9579482	30075694	7571631	5257922	60032654	15725469	42794552	12202672	10427301	17332850	2558158	66102394	29666404	34174908	36717068	24271602	36414651	37145056	20074559	1865267	5837544	27608715	38999155	21669105	14372963	36030678	24509866	1906953	15589584	18219005	25991397	25068509	21518123	17608775	6613249	4124652	30008362	7839717	16104411	36946332	23198059	6151472	23334545	18392766	27331396	30774819	18461787	42246522	20479189	28817403	21703591	17170407	13809778	11188751	14478896	8256694	2771227	47261207	21462355	24438964	19424590	379608	17107855	14512991	31446516	24437179	18499953	16786178	1370420	23336305	18279598	9162668	29590881	24605602	13020657	30919250	16843645	15320951
"1-Methylxanthine"	12037919	5702720	7724079	5846622	3741354	1619186	8308588	10475983	8866798	10764382	5248814	1752090	3586935	5649821	3332032	1455632	12076113	7022272	17257916	790006	8001254	4081612	14448505	1728124	11199452	2821369	20617894	4015724	11583395	14491653	15160968	17298344	10641794	3539170	10102013	32955314	2950169	8273042	8215773	8089397	10273497	3824079	10669021	3202335	16728456	382916	6743005	23114124	1284583	1346657	2112594	9333659	4819835	10460181	7324554	6798625	16794394	6033274	8756254	12577194	13068405	6864352	6633172	10808251	8594814	8067200	14024254	9776257	14993718	10131633	7675147	4433477	3614369	463546	6501316	1366491	4662110	7496747	8795154	6314659	7566829	5958471	5268657	1615545	1404829	7257302	1785651	3718731	5867365	2265971	639817	3541595	1499548	4184836	4255768	4987047	13006022	1963870	1029730	13763285	3270146	1203305	3139612	4423771	25505104	13027974	32763597	34730095	33371485	1895066	27495574	59974	13416309	7415642	23483152	56144021	29010226	13269573	61487618	21195395	3379894	23790609	4902552	23924391	10425200	5914542	10652705	32854120	835047	13453508	1274458	22515044	4126230	22230978	1786393	3285537	42606906	22882567	35048135	9125465	3968320	10918248	2767218	40862097	20287479	21966458	30969969	17039420	20122412	28288256	13281775	1926605	10855072	19582666	28740009	14276670	8544427	28305898	17921960	1108003	15397507	12237865	16183896	17724624	12764878	19325552	5978795	2327941	19932606	3940696	8131604	27569944	16730669	4383418	15424544	10734487	33257422	21428567	10875162	33291902	12687175	13724743	15859004	7722135	10212514	5089001	10323782	5299453	529447	39682428	18277950	17763884	14171656	997710	14321798	12297861	15992338	26897819	12146700	13597912	256757	14051155	13070239	6274244	20895482	17767113	13249946	20766019	15026075	11032203
"2,2-Dimethylglutaric acid"	491854	139264	1294393	98034	569786	207994	803245	153183	240365	386211	337757	161254	600598	508284	126792	344750	469568	371797	528458	1144227	199581	213246	439015	473548	421404	646401	597370	1026134	268944	435358	566956	314919	391038	362796	408356	2368900	581521	489297	355664	317181	97433	374897	405881	609298	404957	461571	190799	724523	50562	59979	97255	450204	147949	185875	268181	289562	232636	476191	370611	302915	219852	215867	625549	432648	821549	338672	300266	191997	562601	51764	287371	183664	144173	137547	148152	169093	341898	326516	288644	275072	124457	44472	201074	321077	443952	121785	63411	91851	242751	102539	50820	110537	192543	804686	343538	233869	193345	331454	463780	416771	90891	76164	471188	211571	714912	791249	604575	589454	1074418	3070098	2119240	7137	890118	386826	930174	1000597	733434	233617	1360212	1037357	176066	772653	1884339	751699	1209307	255309	525705	1839142	659431	515303	159998	122897	1308292	804084	1176095	311879	1090860	1448865	1490176	473518	1314978	370766	658153	2072868	797182	241909	609394	363945	638321	364544	610599	90246	304093	689520	535665	940965	1084750	563914	300670	250836	847567	963190	994193	618534	541323	428765	214996	219920	308257	480191	443707	227943	328803	214748	175739	395171	87076	356367	663958	835129	406727	1311985	421842	617353	320188	159318	432346	121762	313052	342490	369635	325067	279331	312419	170664	207936	381802	507274	489883	75053	222493	340858	231135	120305	217904	278230	150750	163974	297904	195582
"2-acetamido-4-methylphenyl acetate"	131638	43780	506.5	94438	47169	35839	104575	336251	39835	154736	506.5	112319	107102	74453	86059	297958	146799	41608	139302	51875	428629	54149	310403	66390	144710	41770	313946	101762	318834	96645	242381	98808	132564	124925	306907	275298	349075	34656	114441	80007	51698	127731	144062	125757	104208	11847	182544	5005	506.5	27844	50618	128536	71052	74978	342528	167230	177130	171413	119954	57028	48189	167552	247338	114772	187546	101523	76680	13572	84009	506.5	104696	271633	45149	31758	197899	61430	121584	22244	26324	100446	52285	82234	228185	97527	14318	122384	48376	44253	94377	82745	24395	2009	108366	90927	179232	85496	190340	42625	34229	106511	557311	36402	1953	78743	193306	160570	117718	769008	267248	87972	69464	607.5	7616	586103	206378	121127	213298	176754	242462	245818	45143	24490	755359	212954	389071	155435	184599	376084	254437	250988	220902	108105	85318	195162	67546	734516	831034	585004	173521	26533	200539	37004	36565	325985	158874	37276	113890	74761	146784	220431	131561	15431	110818	185203	364047	240219	148084	86018	66224	52249	24283	80448	106180	166432	305441	70418	43991	25483	105589	447093	262598	155739	174455	41989	105672	178424	62375	119866	161191	297693	7959	153233	158356	187841	114849	305398	278998	61269	170611	140724	312751	224186	111426	283256	122690	12793	132190	54212	39050	307170	167079	342338	117560	30651	47048	93554	318603	259085	46862	147634
"2-Aminoadipic acid"	170215	51922	178667	62116	112544	50672	231879	117812	96995	172200	115071	93037	130855	45028	85943	238287	134247	139055	167944	30380	142637	71182	153027	119033	158826	33391	177745	161039	116709	165654	227053	125757	142185	136490	116863	343873	192541	115782	98705	183534	33032	58981	119554	122377	118487	88344	89418	83958	29312	34904	88971	124923	76525	48905	120894	148481	103686	131993	115794	107179	82177	91929	95517	126929	276713	95087	127934	85333	144209	47143	100101	151743	60473	40777	75298	57945	85853	97761	45700	85843	142614	46086	58704	116756	66111	82492	29649	28734	64940	48443	36114	14794	107623	141827	145326	67448	55668	69813	66701	68051	46064	22822	77397	69889	211051	135473	187526	171919	231183	810849	268826	14883	140778	961904	226143	242014	319702	117739	220563	250808	134880	190902	266216	196054	378433	125874	163055	211658	267996	164365	130178	69163	188919	200864	549987	119612	366293	277418	275988	349089	132186	127157	181774	459213	215864	260424	246803	172018	274592	191312	209141	45084	107075	183816	169029	153489	283856	133961	202937	64740	153310	227788	74044	180132	127350	169212	54206	77563	90445	186680	154867	132619	160787	147476	89801	223338	49267	91754	117057	429902	156194	161023	128511	229049	106582	94783	172129	45728	134762	82872	103303	187390	118078	128191	153646	50982	265774	120179	187030	55772	86739	98350	117721	39963	89854	113185	66975	57334	79878	92214
"2-Hydroxybenzyl alcohol"	63712	5178	41746	14512	506.5	14001	51128	17671	45533	77496	22790	18049	48592	28408	30678	66033	83203	43531	134232	12239	154857	21049	83216	37152	90443	506.5	104366	58987	108449	124041	229639	109421	103850	37243	197850	348086	149226	69129	182116	237382	71826	20634	115770	91736	140884	2226	137858	307418	506.5	22509	10790	111910	68777	67302	63222	124745	124716	60862	135941	188364	248426	258672	63396	208156	117842	127360	279817	158288	147569	165500	139353	146268	117350	108271	150174	27504	196787	95774	79485	147863	188739	127152	143120	50910	71015	163461	38488	50746	131275	131697	12811	112342	93179	131425	163821	137844	294040	51513	102588	289834	53281	9554	97621	139527	115231	264286	74049	81590	40554	91022	607.5	607.5	8314	117029	123182	176584	112223	62435	1253934	79918	5194	87966	19155	135564	224648	242477	76601	213640	152349	44170	4600	100077	120950	160307	110075	5148	67076	145278	296041	76923	52954	92403	20685	160750	150374	159163	94619	7721	185397	29210	325518	5027	29938	139840	151394	37141	22918	169812	58483	4970	4800	71212	78834	153726	268147	173775	48985	3938	294626	21894	100149	219771	159618	21203	22559	355926	126593	305741	226602	101954	249392	225758	193691	115110	132081	348624	143535	11300	112369	826089	166256	116212	192909	112650	381004	26447	629000	156376	159434	161587	221871	155021	191730	14293	204085	53770	152941	369783	96341	202972
